user_id,cohort,has_first_name,has_last_name,has_verfied_email,has_phone
1101,c,FALSE,TRUE,FALSE,FALSE
1105,a,TRUE,TRUE,FALSE,TRUE
1109,c,TRUE,TRUE,TRUE,FALSE
1118,a,TRUE,FALSE,FALSE,FALSE
1135,c,TRUE,TRUE,TRUE,FALSE
1149,a,FALSE,TRUE,TRUE,FALSE
1151,a,FALSE,TRUE,FALSE,FALSE
1154,c,FALSE,TRUE,FALSE,TRUE
1162,a,TRUE,TRUE,FALSE,FALSE
1164,a,TRUE,TRUE,FALSE,FALSE
1175,a,TRUE,TRUE,FALSE,FALSE
1190,c,TRUE,TRUE,FALSE,FALSE
1193,b,TRUE,FALSE,TRUE,FALSE
1203,a,TRUE,TRUE,TRUE,FALSE
1206,a,FALSE,TRUE,TRUE,FALSE
1235,c,TRUE,TRUE,FALSE,FALSE
1242,a,FALSE,TRUE,TRUE,FALSE
1244,c,TRUE,FALSE,TRUE,FALSE
1267,a,TRUE,FALSE,TRUE,FALSE
1267,c,TRUE,TRUE,FALSE,FALSE
1268,b,TRUE,TRUE,TRUE,FALSE
1271,b,TRUE,FALSE,TRUE,FALSE
1297,a,TRUE,TRUE,TRUE,FALSE
1299,c,TRUE,TRUE,FALSE,FALSE
1304,b,FALSE,TRUE,TRUE,FALSE
1313,a,TRUE,TRUE,FALSE,FALSE
1313,a,TRUE,TRUE,FALSE,FALSE
1316,a,TRUE,TRUE,FALSE,FALSE
1324,b,FALSE,TRUE,TRUE,FALSE
1338,c,TRUE,TRUE,FALSE,FALSE
1340,b,TRUE,TRUE,TRUE,FALSE
1342,b,TRUE,TRUE,TRUE,FALSE
1343,c,TRUE,TRUE,FALSE,FALSE
1344,a,FALSE,TRUE,FALSE,FALSE
1359,b,TRUE,TRUE,TRUE,TRUE
1370,c,FALSE,TRUE,FALSE,FALSE
1381,b,TRUE,FALSE,TRUE,FALSE
1397,a,TRUE,TRUE,TRUE,TRUE
1400,a,TRUE,TRUE,TRUE,FALSE
1404,a,TRUE,FALSE,TRUE,FALSE
1422,a,TRUE,TRUE,FALSE,TRUE
1424,c,FALSE,TRUE,TRUE,FALSE
1425,c,FALSE,TRUE,FALSE,TRUE
1436,c,TRUE,TRUE,FALSE,FALSE
1442,b,TRUE,TRUE,TRUE,TRUE
1448,a,TRUE,FALSE,TRUE,FALSE
1450,c,TRUE,TRUE,TRUE,FALSE
1454,c,TRUE,TRUE,FALSE,FALSE
1462,c,TRUE,TRUE,TRUE,FALSE
1470,b,TRUE,TRUE,TRUE,FALSE
1479,a,FALSE,TRUE,TRUE,FALSE
1487,c,TRUE,FALSE,FALSE,FALSE
1489,a,TRUE,TRUE,TRUE,FALSE
1505,c,TRUE,TRUE,FALSE,FALSE
1511,c,TRUE,TRUE,TRUE,FALSE
1512,a,TRUE,TRUE,FALSE,FALSE
1519,b,TRUE,TRUE,TRUE,FALSE
1569,c,TRUE,TRUE,FALSE,TRUE
1603,a,FALSE,TRUE,TRUE,FALSE
1607,a,FALSE,TRUE,FALSE,FALSE
1616,c,TRUE,TRUE,FALSE,FALSE
1623,c,TRUE,TRUE,FALSE,FALSE
1629,c,TRUE,TRUE,FALSE,FALSE
1635,b,FALSE,TRUE,FALSE,FALSE
1637,c,TRUE,TRUE,TRUE,FALSE
1658,b,TRUE,TRUE,TRUE,FALSE
1674,c,TRUE,TRUE,FALSE,FALSE
1686,c,FALSE,FALSE,FALSE,FALSE
1687,b,FALSE,TRUE,TRUE,FALSE
1692,c,TRUE,TRUE,TRUE,FALSE
1695,c,TRUE,FALSE,FALSE,FALSE
1705,b,TRUE,TRUE,TRUE,TRUE
1711,c,FALSE,TRUE,FALSE,FALSE
1741,a,FALSE,TRUE,FALSE,FALSE
1750,a,TRUE,TRUE,TRUE,TRUE
1764,b,TRUE,TRUE,TRUE,TRUE
1769,c,FALSE,TRUE,TRUE,FALSE
1787,a,TRUE,TRUE,FALSE,FALSE
1787,a,TRUE,TRUE,TRUE,FALSE
1787,b,TRUE,TRUE,TRUE,FALSE
1815,b,TRUE,TRUE,TRUE,FALSE
1816,b,FALSE,TRUE,TRUE,FALSE
1820,c,TRUE,FALSE,FALSE,FALSE
1834,c,FALSE,TRUE,FALSE,FALSE
1841,a,TRUE,TRUE,FALSE,FALSE
1846,c,TRUE,TRUE,TRUE,FALSE
1850,c,TRUE,TRUE,TRUE,FALSE
1852,a,TRUE,TRUE,TRUE,TRUE
1856,a,TRUE,TRUE,FALSE,TRUE
1879,c,FALSE,TRUE,FALSE,FALSE
1882,b,TRUE,TRUE,TRUE,FALSE
1884,a,TRUE,TRUE,FALSE,TRUE
1897,b,TRUE,TRUE,TRUE,FALSE
1907,b,TRUE,TRUE,TRUE,FALSE
1927,b,FALSE,TRUE,TRUE,FALSE
1943,c,TRUE,TRUE,FALSE,FALSE
1950,b,TRUE,TRUE,TRUE,FALSE
1956,b,TRUE,TRUE,TRUE,FALSE
1961,b,TRUE,TRUE,TRUE,TRUE
1962,a,TRUE,TRUE,TRUE,FALSE
1966,a,TRUE,FALSE,FALSE,TRUE
1980,c,TRUE,TRUE,FALSE,FALSE
1993,a,FALSE,TRUE,FALSE,FALSE
